step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
117,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-3.655,-0.066,0.011,0.902,0.34,-1.104,0.165,2.0,0.0,1.0,175.5,0.5,,
118,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.096,-0.0,-0.001,0.849,0.1,-1.961,0.159,2.0,0.0,1.0,214.0,0.5,,
119,-0.675,-0.175,0.0,0.0,-0.002,-0.002,0.244,-0.173,0.031,0.573,0.29,0.065,0.131,2.5,0.0,0.5,283.5,0.5,,
120,-0.05,-0.05,0.0,0.0,-0.0,-0.0,1.129,-0.008,0.009,0.72,0.102,-1.537,0.204,2.0,0.0,1.0,225.5,0.5,,
121,-0.05,-0.05,0.5,0.0,-0.0,-0.0,0.011,-0.025,-0.013,0.944,0.367,0.029,0.102,2.0,0.0,1.0,239.5,0.5,,
122,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.425,-0.01,0.027,0.606,0.009,-2.869,0.197,2.0,0.0,1.0,182.5,0.5,,
123,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.144,-0.009,0.023,0.94,0.007,-3.064,0.173,2.0,0.0,1.0,236.0,0.5,,
124,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.025,0.003,0.025,0.527,0.003,-4.021,0.156,2.0,0.0,1.0,224.0,0.5,,
125,0.45,-0.05,0.5,0.0,0.002,0.002,-0.125,0.154,0.026,0.616,0.228,0.073,0.156,2.0,0.0,1.0,200.5,0.5,,
126,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.063,-0.01,0.022,0.67,0.008,-1.715,0.156,2.0,0.0,1.0,217.0,0.5,,
127,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.003,0.002,0.025,0.696,0.007,-0.924,0.178,2.0,0.0,1.0,218.5,0.5,,
128,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.287,-0.036,0.026,0.582,0.011,-0.693,0.158,2.0,0.0,1.0,227.0,0.5,,
129,0.45,-0.05,0.5,0.0,0.002,0.002,-0.094,0.135,0.03,0.533,0.157,0.009,0.146,2.0,0.0,1.0,242.5,0.5,,
130,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.076,0.0,0.012,0.76,0.039,-0.354,0.175,2.0,0.0,1.0,253.0,0.5,,
131,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.072,0.009,-0.003,0.662,0.012,-0.697,0.24,2.0,0.0,1.0,231.5,0.5,,
132,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.066,-0.003,0.013,0.68,0.055,-1.023,0.124,2.0,0.0,1.0,240.0,0.5,,
133,0.375,-0.125,0.5,0.0,0.001,0.001,-0.35,-0.441,-0.003,1.337,0.475,-0.094,0.188,2.5,0.5,0.5,361.5,0.5,,
134,-0.1,-0.1,0.5,0.5,-0.0,-0.001,-0.006,0.084,-0.029,0.994,0.546,-0.001,0.247,2.0,0.0,1.0,228.5,0.5,,
135,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.338,-0.028,0.008,0.827,0.063,-2.374,0.166,2.0,0.0,1.0,243.0,0.5,,
136,-0.125,-0.125,0.0,0.0,-0.0,-0.0,0.89,-0.282,0.002,1.385,0.047,-0.228,0.148,2.5,0.5,0.5,381.0,0.5,,
137,-0.7,-0.2,0.0,0.0,-0.001,-0.001,0.0,0.002,-0.004,1.008,0.034,0.087,0.085,3.0,1.0,0.0,512.0,1.0,,
138,-0.175,-0.175,0.0,0.0,-0.0,-0.0,-0.861,-0.181,-0.016,0.866,0.143,0.179,0.178,2.5,0.0,0.5,360.5,0.5,,
139,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.475,-0.007,-0.014,0.813,0.18,-0.644,0.138,2.0,0.0,1.0,233.5,0.5,,
140,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.197,0.002,-0.014,0.744,0.031,-0.411,0.208,2.0,0.0,1.0,242.5,0.5,,
141,-0.75,-0.25,0.0,0.0,-0.001,-0.002,0.139,0.072,-0.003,1.269,0.401,0.063,0.109,3.0,0.5,0.0,459.0,0.5,,
142,0.95,-0.05,1.0,0.0,0.004,0.004,-0.119,0.013,-0.019,0.7,0.05,-0.028,0.157,2.0,0.0,1.0,215.5,0.5,,
143,-0.05,-0.05,0.0,0.0,-0.0,-0.0,1.454,0.001,-0.024,0.524,0.691,-1.199,0.176,2.0,0.0,1.0,232.5,0.5,,
144,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.0,0.023,-0.015,0.647,0.746,-1.65,0.132,2.0,0.0,1.0,226.0,1.0,,
