step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,reward_decomposition/search_mismatch_count_mean,reward_decomposition/malformed_action_count_mean,reward_decomposition/full_format_valid_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
60,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.194,-0.002,0.002,1.312,0.062,-0.62,0.044,3.0,0.0,0.0,444.5,0.5,,
61,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.033,-0.002,0.004,1.41,0.055,-0.438,0.03,3.0,0.0,0.0,448.5,0.5,,
62,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.005,0.006,0.006,1.192,0.055,-0.459,0.03,3.0,0.0,0.0,485.5,0.5,,
63,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.07,-0.01,0.015,1.229,0.211,0.05,0.057,3.0,0.0,0.0,434.5,0.5,,
64,-0.8,-0.3,0.0,0.0,,,,-0.002,-0.002,0.148,0.054,0.009,1.068,0.303,0.204,0.036,3.0,0.0,0.0,472.5,0.5,,
65,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.008,-0.001,0.016,1.194,0.017,0.476,0.02,3.0,0.0,0.0,418.0,0.5,,
66,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,-0.182,0.036,0.008,1.275,0.036,0.404,-0.017,3.0,0.5,0.0,481.0,0.5,,
67,-0.85,-0.35,0.0,0.5,,,,-0.002,-0.002,0.066,0.071,0.013,1.153,0.185,0.193,0.007,3.0,0.0,0.0,460.5,0.5,,
68,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.021,0.002,0.007,1.262,0.009,0.579,0.016,3.0,0.0,0.5,495.0,0.5,,
69,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.155,-0.051,0.013,1.066,0.011,0.382,0.032,3.0,0.0,0.0,376.5,0.5,,
70,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.019,-0.012,0.014,1.062,0.031,0.403,0.037,3.0,0.0,0.0,410.0,0.5,,
71,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.217,-0.007,0.015,1.159,0.014,0.692,0.015,3.0,0.0,0.0,455.5,0.5,,
72,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.001,-0.179,0.028,0.007,1.644,0.111,0.315,0.043,3.0,0.5,0.0,486.5,0.5,,
73,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.112,-0.008,0.016,1.068,0.075,0.685,0.047,3.0,0.0,0.0,501.5,0.5,,
74,-1.3,-0.3,0.0,0.0,,,,-0.003,-0.003,0.117,0.006,0.025,0.823,0.256,0.287,0.025,3.0,0.0,0.0,444.5,0.5,,
75,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.001,-0.221,0.096,0.027,1.047,0.018,0.256,0.058,3.0,0.5,0.0,446.0,0.5,,
